"filename", "language", "JSON", "HTML", "TypeScript", "JavaScript", "JSON with Comments", "YAML", "Markdown", "XML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/sidebar-context-props.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/sidebar-context.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 1, 3, 16
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/sidebar-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 94, 0, 7, 11, 112
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 553, 0, 5, 42, 600
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 11, 115
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 7, 60
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/ui/use-sidebar.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/wave-region-context-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/components/waveform-player.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 6, 40, 279
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/hooks/use-mobile.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 173, 0, 12, 185
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/lib/utils.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/tsconfig.app.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 34
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 17
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/tsconfig.node.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/home/sanzor/audio-dsp-ui/audio-dsp-ui/vite.config.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"Total", "-", 125, 14, 1035, 22, 16, 2919, 58, 2, 3974, 210, 181, 1470, 10026
